13878750.5082;-6521830177.3437;-9.7143;0.0000;0.0000;0.9981;0.9649;0.0068;0
16911851.7507;-232499906.9229;-14.2040;0.0000;0.0018;1.0837;1.0247;0.0054;0
15715248.6823;-138357557.4643;-25.0035;0.0038;0.0020;1.0005;1.0170;0.0337;0
12702550.7999;-1908831.2177;64.3730;0.1275;0.0215;0.9923;1.7317;0.0053;0
19423255.1984;-139258173.1254;-7.4451;0.9744;0.1636;1.0259;1.0582;0.0051;0
5301002.1679;-136026474.7911;-2.3259;0.0015;0.0082;0.9989;0.9992;0.0048;0
4341830.5018;-2072820.2938;85.9352;0.1494;0.0000;0.9907;0.9722;0.0028;0
2591065.2671;-2390431.9622;-3.6099;0.0206;0.0062;1.1121;1.0468;0.0013;0
11938220.0570;-596732557.9274;-25.9334;0.0904;0.0043;1.0087;0.9991;0.0044;0
18608901.9382;-8314037.7191;-0.3239;0.0014;0.0000;0.9802;0.9791;0.0050;0
59568466.3994;-57813235.8023;-60.9932;0.0395;0.0365;0.9987;1.0336;0.1825;0
246331234.5476;-34381705.5172;-0.7175;0.0995;0.0128;0.9885;0.9924;0.0050;0
20178031.6025;-41219070.5619;-0.9573;0.0167;0.2606;0.9922;1.0583;0.0013;0
14153392.6223;-7966671.2961;-13.7244;0.0326;0.0281;1.0907;1.0057;0.0061;0
3013526.2860;-1777937.1786;-17.1791;0.0114;0.0023;1.0128;1.0104;0.0667;0
19638914.6099;-60362561.5246;-3.2573;0.0052;0.0683;1.0039;0.9685;0.0046;0
17215353.5985;-1251184.7048;-0.5426;0.0307;0.0353;1.1179;2.3704;0.0047;0
17189376.7602;-3038090.2647;-1.6084;0.0233;0.1583;1.3717;0.9872;0.0001;0
15539244.4598;-216559.6651;-27.8858;0.0926;0.0000;1.1143;1.1770;0.0017;0
8122307.5028;-12440654.8940;-1.4858;0.0000;0.0000;0.9921;1.0234;0.0004;0
3043573.6549;-375343.7858;-1.8859;0.0000;0.0000;0.9990;0.9300;0.0003;0
1013003904.2942;-337243056.6099;-5.4929;0.0687;0.0696;1.0018;1.0286;0.0035;0
15098822.8130;-23746371.7907;-3.6973;0.0010;0.0000;0.9894;0.9889;0.0052;0
10227096.6571;-401999064.1098;-0.9842;0.0224;0.0000;0.9882;0.9890;0.0002;0
535915166.6059;-35713094.6292;-68.7588;0.0510;0.0170;1.0917;0.9611;0.0053;0
2339390.1162;-3538615.5031;-6.4141;0.0000;0.0000;1.0047;0.9677;0.0102;0
4220423.8530;-10321690.4005;-9.1507;0.1229;0.0000;1.9874;2.0176;0.0023;0
7589503.5267;-4417367.5815;-0.5178;0.0378;0.0012;1.2355;1.0808;0.0302;0
19828916.5780;-3040421.2110;-28.1057;0.1501;0.0000;0.9931;1.0751;0.0029;0
14564309.3318;-682874735.0639;0.0160;0.0000;0.1520;1.1974;1.0433;0.0323;0
19784910.6281;-4031390.3175;0.0161;0.0000;0.2325;0.9753;1.0248;0.0052;0
17158793.1787;-5589139.4492;-1.4485;0.0123;0.0000;1.0104;1.1505;0.0047;0
10569331.7327;-1312435.6128;-41.9603;0.1293;0.0000;1.2521;0.9946;0.0013;0
14094124.3884;249009.5679;-68.2742;0.0000;0.0177;0.9896;1.1534;0.0025;0
10624257.0469;-1581990.0693;-43.5234;0.1907;0.0000;0.9869;1.0191;0.0050;0
9431552.5913;-2089192.6682;-10.5501;0.1133;0.0003;0.9781;0.9811;0.0325;0
12250045.2896;-3880883.0976;-39.6743;0.2053;0.0000;2.1953;0.9872;0.0052;0
4840470.4241;-82064442.9225;-6.3861;0.0285;0.0000;1.1437;1.0473;0.0243;0
16964602.2286;-126393.3096;-9.1399;0.0000;0.0000;1.3529;0.9979;0.0023;0
18529516.6652;-304284082.7045;-0.8286;0.0460;0.1475;1.1018;0.9962;0.0053;0
2918847.8021;66430.4482;-51.6798;0.0009;0.0000;0.9643;1.0077;0.0016;0
19735202.4111;-13339285.7417;-0.5426;0.0000;0.0000;1.0996;1.0557;0.6146;0
